species_name,data_cleaning_issues,unique_occ_10,alpha_hull,SDM,AIC_issue,Range_unfilling,Realm_ok,CBI_ok,Final_species
Alexa_cowanii,No,No,NA,NA,NA,NA,NA,NA,NA
Alexa_grandiflora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alexa_herminiana,No,No,NA,NA,NA,NA,NA,NA,NA
Alexa_imperatricis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alexa_leiopetala,No,No,NA,NA,NA,NA,NA,NA,NA
Alexa_surinamensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alexa_wachenheimii,No,No,NA,NA,NA,NA,NA,NA,NA
Alfaroa_costaricensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alfaroa_guatemalensis,No,Yes,Yes,Yes,No,No,NA,NA,NA
Alfaroa_manningii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alfaroa_mexicana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alfaroa_williamsii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Algernonia_amazonica,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_bahiensis,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_brasiliensis,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_dimitrii,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_gibbosa,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_glazioui,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_kuhlmannii,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Algernonia_leandrii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Algernonia_obovata,No,No,NA,NA,NA,NA,NA,NA,NA
Algernonia_riedelii,No,No,NA,NA,NA,NA,NA,NA,NA
Alibertia_atlantica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alibertia_bertierifolia,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alibertia_claviflora,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alibertia_curviflora,No,No,NA,NA,NA,NA,NA,NA,NA
Alibertia_duckeana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alibertia_dwyeri,No,No,NA,NA,NA,NA,NA,NA,NA
Alibertia_edulis,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alibertia_latifolia,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alibertia_patinoi,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alibertia_sorbilis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alibertia_utleyorum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alibertia_venezuelensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alibertia_verticillata,No,No,NA,NA,NA,NA,NA,NA,NA
Allagoptera_caudescens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allamanda_cathartica,No,Yes,Yes,No,NA,NA,NA,NA,NA
Allamanda_weberbaueri,No,No,NA,NA,NA,NA,NA,NA,NA
Allanblackia_floribunda,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allanblackia_gabonensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allanblackia_kimbiliensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allanblackia_kisonghi,No,No,NA,NA,NA,NA,NA,NA,NA
Allanblackia_marienii,No,No,NA,NA,NA,NA,NA,NA,NA
Allanblackia_parviflora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allanblackia_staneriana,No,No,NA,NA,NA,NA,NA,NA,NA
Allanblackia_stuhlmannii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allanblackia_ulugurensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allantoma_decandra,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allantoma_integrifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allantoma_kuhlmannii,No,No,NA,NA,NA,NA,NA,NA,NA
Allantoma_lineata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allantoma_pachyantha,No,No,NA,NA,NA,NA,NA,NA,NA
Allantoma_pauciramosa,No,No,NA,NA,NA,NA,NA,NA,NA
Allantoma_pluriflora,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allantoma_uaupensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allantospermum_borneense,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allantospermum_multicaule,No,No,NA,NA,NA,NA,NA,NA,NA
Alleizettella_rubra,No,No,NA,NA,NA,NA,NA,NA,NA
Allexis_batangae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allexis_cauliflora,No,Yes,Yes,Yes,No,Yes,Yes,NA,NA
Allexis_obanensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allexis_zygomorpha,No,No,NA,NA,NA,NA,NA,NA,NA
Allocasuarina_acutivalvis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_campestris,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_decaisneana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_decussata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_dielsiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_diminuta,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_duncanii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_fraseriana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_grampiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_gymnanthera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_huegeliana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_hystricosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_inophloia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_littoralis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_luehmannii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_monilifera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_portuensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allocasuarina_striata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_tessellata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_torulosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allocasuarina_verticillata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allomaieta_hirsuta,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allomaieta_pancurana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allomaieta_strigosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allomaieta_villosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allomorphia_howellii,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylastrum_frutescens,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_abyssinicus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_acutatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_africanus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_aldabricus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_amazonicus,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_amboinensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_amentaceus,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Allophylus_amplissimus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_angustatus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_antunesii,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_bicruris,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_bongolavensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_borbonicus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_brachypetalus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_bullatus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_camptoneurus,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Allophylus_camptostachys,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_capillipes,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_caudatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_chartaceus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_chaunostachys,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_chirindensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_cobbe,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_cominia,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_congolanus,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_coriaceus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_crassinervis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_decipiens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_densiflorus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_dimorphus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_dioicus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_divaricatus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_dodsonii,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_dregeanus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_dummeri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_edulis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_excelsus,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_ferrugineus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_floribundus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_gentryi,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_glabratus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_goudotii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_grandiflorus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_grandifolius,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_grotei,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_guaraniticus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_haitiensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_hallaei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_hamatus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_hirsutus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_hirtellus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_imenoensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_incanus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_jamaicensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_javensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_jejunus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_katangensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_lastoursvillensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_latifolius,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_laxiflorus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_leptocladus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_leptostachys,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_letestui,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_leucoclados,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_longicuneatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_longifolius,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_longipes,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_loretensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_mayimbensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_megaphyllus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_melanophloeus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_melliodorus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_membranifolius,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_mollis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_multicostatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_myrianthus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_natalensis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_ngounyensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_nigericus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_nitidulus,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_pachyphyllus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_paniculatus,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_parimensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_pauciflorus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_persicifolius,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_peruvianus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_pervillei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_petelotii,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_pilosus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_poungouensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_pseudopaniculatus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_psilospermus,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_puberulus,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_punctatus,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_quercifolius,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_racemosus,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_rapensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_repandifolius,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_repandodentatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_reticulatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_rhomboidalis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_rigidus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_robustus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_rubifolius,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_salignus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_samoritourei,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_sapinii,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_scrobiculatus,No,Yes,Yes,Yes,No,No,NA,NA,NA
Allophylus_sechellensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_serratus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_simplicifolius,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_sootepensis,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_spectabilis,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Allophylus_stenodictyus,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_strictus,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allophylus_subfalcatus,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Allophylus_subincisodentatus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_talbotii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Allophylus_tanzaniensis,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Allophylus_timorensis,No,Yes,Yes,No,NA,NA,NA,NA,NA
Allophylus_torrei,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_ujori,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_vestitus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_villosus,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_zenkeri,No,No,NA,NA,NA,NA,NA,NA,NA
Allophylus_zeylanicus,No,No,NA,NA,NA,NA,NA,NA,NA
Allospondias_laxiflora,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Allosyncarpia_ternata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Allowoodsonia_whitmorei,No,No,NA,NA,NA,NA,NA,NA,NA
Alloxylon_brachycarpum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alloxylon_flammeum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alloxylon_pinnatum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alloxylon_wickhamii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alluaudia_ascendens,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alluaudia_comosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alluaudia_dumosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alluaudia_montagnacii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alluaudia_procera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alluaudiopsis_fiherenensis,No,Yes,orphaned_hole,NA,NA,NA,NA,NA,NA
Alniphyllum_eberhardtii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alniphyllum_fortunei,No,Yes,Yes,Yes,No,No,NA,NA,NA
Alniphyllum_pterospermum,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alnus_acuminata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_alnobetula,No,Yes,Yes,No,NA,NA,NA,NA,NA
Alnus_cordata,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alnus_cremastogyne,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_fauriei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_ferdinandi-coburgii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_firma,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alnus_formosana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_glutinosa,No,Yes,Yes,No,NA,NA,NA,NA,NA
Alnus_hakkodensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alnus_hirsuta,No,Yes,Yes,No,NA,NA,NA,NA,NA
Alnus_incana,No,Yes,Yes,No,NA,NA,NA,NA,NA
Alnus_japonica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_jorullensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_lanata,No,No,NA,NA,NA,NA,NA,NA,NA
Alnus_lusitanica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_mandshurica,No,No,NA,NA,NA,NA,NA,NA,NA
Alnus_maritima,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_matsumurae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_maximowiczii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_nepalensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_nitida,No,No,NA,NA,NA,NA,NA,NA,NA
Alnus_oblongifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_orientalis,No,No,NA,NA,NA,NA,NA,NA,NA
Alnus_pendula,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alnus_rhombifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_rohlenae,No,No,NA,NA,NA,NA,NA,NA,NA
Alnus_rubra,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_serrulata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_serrulatoides,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_sieboldiana,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alnus_subcordata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alnus_trabeculosa,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Aloe_africana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_alooides,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_angelica,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_antonii,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_ballyi,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_castanea,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_comosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_elata,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_excelsa,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Aloe_ferox,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_gracilicaulis,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_helenae,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_littoralis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_marlothii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Aloe_mawii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_miskatana,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_munchii,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_peyrierasii,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_pluridens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_rupestris,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Aloe_rupicola,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_speciosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_spectabilis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_spicata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_suzannae,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_thraskii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Aloe_vaombe,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloe_vaotsanda,No,No,NA,NA,NA,NA,NA,NA,NA
Aloe_volkensii,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Aloidendron_barberae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloidendron_dichotomum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloidendron_eminens,No,No,NA,NA,NA,NA,NA,NA,NA
Aloidendron_pillansii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloidendron_ramosissimum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Aloidendron_sabaea,No,No,NA,NA,NA,NA,NA,NA,NA
Aloysia_virgata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphandia_furfuracea,No,No,NA,NA,NA,NA,NA,NA,NA
Alphandia_resinosa,No,No,NA,NA,NA,NA,NA,NA,NA
Alphandia_verniciflua,No,No,NA,NA,NA,NA,NA,NA,NA
Alphitonia_carolinensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphitonia_excelsa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphitonia_ferruginea,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphitonia_franguloides,No,No,NA,NA,NA,NA,NA,NA,NA
Alphitonia_incana,No,Yes,Yes,Yes,No,No,NA,NA,NA
Alphitonia_macrocarpa,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alphitonia_marquesensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphitonia_neocaledonica,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alphitonia_oblata,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alphitonia_petriei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphitonia_philippinensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphitonia_pomaderroides,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphitonia_ponderosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphitonia_whitei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphitonia_zizyphoides,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alphonsea_boniana,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alphonsea_borneensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_curtisii,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_cylindrica,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_elliptica,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_gaudichaudiana,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_hainanensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_havilandii,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_hortensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_isthmicola,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_javanica,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Alphonsea_johorensis,No,Yes,Yes,Yes,No,No,NA,NA,NA
Alphonsea_kinabaluensis,No,Yes,Yes,Yes,No,No,NA,NA,NA
Alphonsea_lucida,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_lutea,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_maingayi,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_malayana,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_mollis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_monogyna,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alphonsea_philastreana,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_siamensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_squamosa,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_tonquinensis,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_ventricosa,No,No,NA,NA,NA,NA,NA,NA,NA
Alphonsea_zeylanica,No,No,NA,NA,NA,NA,NA,NA,NA
Alseis_blackiana,No,Yes,Yes,Yes,No,No,NA,NA,NA
Alseis_costaricensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Alseis_eggersii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Alseis_floribunda,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
